participant_id,country,site,school,age,date_of_birth,gender,grade_level,enrollment_date,cohort_status,consent_status,phone_contact,employment_status,food_security,healthcare_access,socioeconomic_status
NEPS-GHA-0045,Ghana,Accra,St. Augustine's,19,6/25/2006,Male,Vocational,4/13/2025,withdrawn,pending,2.33845E+11,unemployed,secure,poor,middle
NEPS-GHA-0046,Ghana,Sogakope,Ghana SHS,22,5/16/2004,Female,University,5/12/2025,active,consented,2.33589E+11,unemployed,secure,fair,lower_middle
NEPS-GHA-0047,Ghana,Tamale,Accra Academy,16,3/7/2010,Female,Not in school,4/11/2024,withdrawn,consented,2.33546E+11,student,moderately_insecure,none,lower_middle
NEPS-GHA-0048,Ghana,Ho,Presbyterian Boys,14,10/18/2011,Male,JHS,8/26/2025,active,consented,2.33477E+11,student,moderately_insecure,fair,lower_middle
NEPS-GHA-0049,Ghana,Sogakope,Methodist Boys,24,8/6/2001,Male,University,5/14/2024,active,consented,2.33711E+11,employed,moderately_insecure,fair,low
NEPS-GHA-0050,Ghana,Ho,Presbyterian Boys,22,5/29/2004,Female,University,1/27/2026,active,declined,2.33791E+11,employed,secure,fair,middle
NEPS-SIE-0051,Sierra Leone,Bo,Christ the King,21,10/17/2004,Prefer not to say,Not in school,7/29/2025,active,consented,2.32993E+11,student,moderately_insecure,fair,lower_middle
NEPS-SIE-0052,Sierra Leone,Freetown,Prince of Wales,21,8/9/2004,Male,University,3/15/2024,active,consented,2.32495E+11,student,secure,fair,lower_middle
NEPS-SIE-0053,Sierra Leone,Bo,Bo Government,18,1/8/2008,Male,University,5/18/2024,active,consented,2.32255E+11,employed,severely_insecure,fair,low
NEPS-SIE-0054,Sierra Leone,Bo,Bombali,11,5/2/2015,Other,Not in school,3/18/2025,active,consented,2.32799E+11,student,moderately_insecure,fair,lower_middle
NEPS-SIE-0055,Sierra Leone,Freetown,St. Joseph,19,7/25/2006,Female,Vocational,9/13/2025,active,consented,2.32995E+11,student,severely_insecure,fair,low
NEPS-SIE-0056,Sierra Leone,Bo,Christ the King,20,2/18/2006,Female,University,8/5/2025,active,consented,2.32449E+11,student,mildly_insecure,fair,low
NEPS-SIE-0057,Sierra Leone,Freetown,Christ the King,21,10/17/2004,Other,Not in school,2/19/2026,active,consented,2.32895E+11,self-employed,severely_insecure,poor,low
NEPS-SIE-0058,Sierra Leone,Bo,Bombali,23,3/27/2003,Female,SHS,2/18/2026,active,consented,2.32632E+11,unemployed,secure,none,upper_middle
NEPS-SIE-0059,Sierra Leone,Makeni,Prince of Wales,18,9/27/2007,Male,University,2/8/2025,inactive,pending,2.32818E+11,student,secure,fair,upper_middle
NEPS-SIE-0060,Sierra Leone,Bo,Prince of Wales,22,6/28/2003,Other,Not in school,1/12/2024,active,consented,2.32882E+11,student,moderately_insecure,poor,middle
NEPS-SIE-0061,Sierra Leone,Freetown,Bo Government,17,12/9/2008,Male,Vocational,3/10/2025,inactive,pending,2.32791E+11,student,severely_insecure,fair,lower_middle
NEPS-SIE-0062,Sierra Leone,Makeni,Christ the King,11,12/25/2014,Female,JHS,8/17/2025,active,consented,2.32401E+11,casual_labor,mildly_insecure,poor,lower_middle
NEPS-SIE-0063,Sierra Leone,Makeni,St. Joseph,19,9/24/2006,Female,University,7/31/2024,active,consented,2.32876E+11,student,mildly_insecure,good,lower_middle
NEPS-SIE-0064,Sierra Leone,Makeni,Christ the King,21,3/17/2005,Female,SHS,6/18/2025,active,pending,2.32735E+11,employed,secure,none,lower_middle
NEPS-SIE-0065,Sierra Leone,Freetown,Christ the King,18,6/10/2007,Male,University,7/27/2025,active,consented,2.32347E+11,employed,mildly_insecure,poor,lower_middle
NEPS-SIE-0066,Sierra Leone,Bo,Bombali,22,11/7/2003,Female,University,5/19/2025,inactive,consented,2.3236E+11,employed,severely_insecure,fair,low
NEPS-SIE-0067,Sierra Leone,Freetown,Christ the King,17,12/11/2008,Female,SHS,5/27/2025,active,consented,2.32641E+11,student,mildly_insecure,fair,lower_middle
NEPS-SIE-0068,Sierra Leone,Bo,Prince of Wales,21,10/7/2004,Male,Not in school,5/10/2024,inactive,consented,2.32834E+11,student,severely_insecure,none,low
NEPS-SIE-0069,Sierra Leone,Makeni,Bo Government,23,10/25/2002,Male,Not in school,1/20/2026,active,declined,2.32564E+11,employed,moderately_insecure,poor,lower_middle
NEPS-SIE-0070,Sierra Leone,Freetown,Christ the King,20,4/26/2006,Female,Not in school,5/31/2025,withdrawn,consented,2.32273E+11,self-employed,moderately_insecure,fair,low
NEPS-SIE-0071,Sierra Leone,Bo,Christ the King,13,4/19/2013,Male,JHS,2/12/2025,active,consented,2.3226E+11,student,severely_insecure,fair,low
NEPS-SIE-0072,Sierra Leone,Makeni,St. Joseph,15,10/28/2010,Female,SHS,12/4/2025,active,consented,2.32734E+11,student,mildly_insecure,fair,middle
NEPS-SIE-0073,Sierra Leone,Makeni,Christ the King,13,10/11/2012,Female,Not in school,7/18/2024,active,consented,2.32571E+11,student,secure,none,middle
NEPS-SIE-0074,Sierra Leone,Bo,Prince of Wales,20,11/1/2005,Male,Vocational,5/26/2024,active,consented,2.32951E+11,unemployed,secure,fair,middle
NEPS-SIE-0075,Sierra Leone,Freetown,Bombali,23,7/5/2002,Female,University,3/23/2025,active,pending,2.32507E+11,employed,mildly_insecure,poor,middle
NEPS-SIE-0076,Sierra Leone,Freetown,Christ the King,22,12/9/2003,Female,Not in school,9/20/2025,active,pending,2.32894E+11,employed,moderately_insecure,poor,lower_middle
NEPS-SIE-0077,Sierra Leone,Makeni,Bombali,22,10/25/2003,Male,Not in school,3/29/2026,active,consented,2.32593E+11,unemployed,secure,fair,lower_middle
NEPS-SIE-0078,Sierra Leone,Freetown,St. Joseph,24,1/19/2002,Female,University,1/3/2024,withdrawn,consented,2.32281E+11,self-employed,severely_insecure,none,middle
NEPS-SIE-0079,Sierra Leone,Makeni,Christ the King,23,6/26/2002,Male,University,4/21/2024,active,consented,2.32596E+11,student,severely_insecure,poor,low
NEPS-SIE-0080,Sierra Leone,Freetown,Bo Government,19,11/23/2006,Other,Vocational,1/11/2024,active,consented,2.32895E+11,student,moderately_insecure,poor,lower_middle
NEPS-SIE-0081,Sierra Leone,Bo,Christ the King,24,6/14/2001,Male,SHS,6/27/2025,active,consented,2.32617E+11,student,secure,good,lower_middle
NEPS-SIE-0082,Sierra Leone,Makeni,Christ the King,20,6/15/2005,Female,University,10/26/2024,active,declined,2.32235E+11,unemployed,secure,poor,lower_middle
NEPS-SIE-0083,Sierra Leone,Freetown,Bo Government,13,10/20/2012,Prefer not to say,JHS,2/1/2025,active,consented,2.32404E+11,not_applicable,secure,poor,low
NEPS-SIE-0084,Sierra Leone,Freetown,Bombali,11,6/30/2014,Male,Primary,9/27/2025,active,consented,2.32795E+11,student,secure,none,lower_middle
NEPS-SIE-0085,Sierra Leone,Makeni,Prince of Wales,13,2/5/2013,Prefer not to say,Not in school,5/31/2025,active,consented,2.32318E+11,student,moderately_insecure,fair,low
NEPS-SIE-0086,Sierra Leone,Bo,Christ the King,12,5/28/2014,Female,JHS,5/1/2025,active,consented,2.32711E+11,student,moderately_insecure,fair,low
NEPS-SIE-0087,Sierra Leone,Freetown,Bo Government,18,8/7/2007,Female,SHS,1/11/2026,active,consented,2.32233E+11,student,moderately_insecure,poor,lower_middle
NEPS-SIE-0088,Sierra Leone,Makeni,Bombali,23,11/14/2002,Female,University,2/20/2025,active,consented,2.3288E+11,employed,severely_insecure,fair,low
NEPS-SIE-0089,Sierra Leone,Makeni,St. Joseph,21,12/22/2004,Female,University,4/7/2025,withdrawn,consented,2.32792E+11,employed,moderately_insecure,poor,low
NEPS-SIE-0090,Sierra Leone,Bo,Prince of Wales,16,10/17/2009,Male,SHS,9/11/2025,active,declined,2.32937E+11,unemployed,mildly_insecure,poor,lower_middle
NEPS-SIE-0091,Sierra Leone,Bo,Bo Government,11,4/22/2015,Prefer not to say,Primary,1/27/2026,active,consented,2.32641E+11,student,mildly_insecure,good,lower_middle
NEPS-SIE-0092,Sierra Leone,Freetown,Christ the King,23,5/12/2003,Male,Not in school,7/12/2025,active,pending,2.32595E+11,student,moderately_insecure,fair,lower_middle
NEPS-SIE-0093,Sierra Leone,Bo,Prince of Wales,19,2/11/2007,Female,Not in school,1/27/2024,active,consented,2.32945E+11,employed,moderately_insecure,poor,lower_middle
NEPS-SIE-0094,Sierra Leone,Freetown,Bombali,12,1/16/2014,Female,JHS,5/13/2024,active,consented,2.32233E+11,not_applicable,moderately_insecure,fair,low
NEPS-SIE-0095,Sierra Leone,Freetown,Prince of Wales,13,11/24/2012,Female,Not in school,2/27/2025,withdrawn,consented,2.32863E+11,student,mildly_insecure,fair,lower_middle
NEPS-SIE-0096,Sierra Leone,Bo,Bombali,14,10/22/2011,Male,JHS,6/24/2024,active,consented,2.32837E+11,student,mildly_insecure,fair,lower_middle
NEPS-SIE-0097,Sierra Leone,Freetown,Bo Government,20,12/31/2005,Female,SHS,3/17/2026,withdrawn,consented,2.32329E+11,casual_labor,secure,fair,middle
NEPS-SIE-0098,Sierra Leone,Freetown,Bo Government,21,10/29/2004,Male,Not in school,11/4/2025,active,consented,2.32668E+11,employed,secure,poor,middle
NEPS-SIE-0099,Sierra Leone,Bo,Christ the King,24,4/29/2002,Male,University,6/16/2025,active,pending,2.32864E+11,employed,moderately_insecure,poor,lower_middle
NEPS-SIE-0100,Sierra Leone,Makeni,Prince of Wales,11,10/24/2014,Female,Not in school,12/20/2023,active,consented,2.32282E+11,student,secure,good,middle
NEPS-TAN-0101,Tanzania,Dar es Salaam,Ilboru,18,9/18/2007,Male,Not in school,10/16/2025,active,consented,2.55847E+11,student,severely_insecure,none,low
NEPS-TAN-0102,Tanzania,Arusha,Kisutu,12,7/18/2013,Female,Not in school,12/13/2024,inactive,consented,2.55873E+11,student,moderately_insecure,poor,lower_middle
NEPS-TAN-0103,Tanzania,Dar es Salaam,Ilboru,17,5/2/2009,Male,Vocational,1/7/2025,active,consented,2.55508E+11,student,mildly_insecure,good,lower_middle
NEPS-TAN-0104,Tanzania,Arusha,VTA,19,8/6/2006,Other,University,11/29/2024,active,consented,2.5585E+11,employed,severely_insecure,poor,middle
NEPS-TAN-0105,Tanzania,Mwanza,VTA,12,5/4/2014,Male,JHS,1/26/2025,active,consented,2.55672E+11,not_applicable,secure,poor,upper_middle
NEPS-TAN-0106,Tanzania,Mwanza,St. Augustine,19,3/17/2007,Female,Vocational,4/25/2025,active,consented,2.55301E+11,student,secure,fair,middle
NEPS-TAN-0107,Tanzania,Mwanza,St. Augustine,14,1/27/2012,Female,JHS,4/21/2024,inactive,consented,2.55904E+11,casual_labor,moderately_insecure,fair,low
NEPS-TAN-0108,Tanzania,Mwanza,Ilboru,12,8/4/2013,Female,SHS,5/7/2024,withdrawn,consented,2.55936E+11,student,moderately_insecure,poor,low
NEPS-TAN-0109,Tanzania,Dar es Salaam,Moshi,20,6/28/2005,Female,University,2/23/2025,active,declined,2.55366E+11,student,mildly_insecure,none,lower_middle
NEPS-TAN-0110,Tanzania,Dar es Salaam,VTA,23,4/17/2003,Female,University,11/29/2024,active,consented,2.55374E+11,unemployed,severely_insecure,good,low
NEPS-TAN-0111,Tanzania,Dar es Salaam,Moshi,22,3/14/2004,Male,University,4/24/2024,active,consented,2.55773E+11,employed,mildly_insecure,fair,middle
NEPS-TAN-0112,Tanzania,Dar es Salaam,VTA,22,10/10/2003,Female,Not in school,12/29/2023,active,consented,2.55374E+11,unemployed,mildly_insecure,fair,middle
NEPS-TAN-0113,Tanzania,Arusha,VTA,12,1/27/2014,Female,SHS,3/10/2026,active,consented,2.55493E+11,not_applicable,moderately_insecure,good,lower_middle
NEPS-TAN-0114,Tanzania,Arusha,Kisutu,12,10/24/2013,Male,JHS,1/29/2026,active,consented,2.55288E+11,student,moderately_insecure,fair,low
NEPS-TAN-0115,Tanzania,Arusha,St. Augustine,10,12/23/2015,Female,Primary,1/21/2026,active,consented,2.55958E+11,student,severely_insecure,fair,low
NEPS-TAN-0116,Tanzania,Dar es Salaam,Kisutu,19,6/4/2007,Female,Vocational,2/10/2026,withdrawn,consented,2.55331E+11,student,secure,none,high
NEPS-TAN-0117,Tanzania,Arusha,Ilboru,16,7/13/2009,Female,Vocational,2/10/2024,active,consented,2.55513E+11,student,moderately_insecure,fair,lower_middle
NEPS-TAN-0118,Tanzania,Mwanza,Ilboru,19,12/8/2006,Prefer not to say,University,8/29/2025,active,consented,2.55745E+11,student,moderately_insecure,fair,lower_middle
NEPS-TAN-0119,Tanzania,Mwanza,Moshi,16,10/8/2009,Male,Not in school,3/19/2026,active,consented,2.55825E+11,self-employed,mildly_insecure,excellent,lower_middle
NEPS-TAN-0120,Tanzania,Mwanza,St. Augustine,12,5/13/2014,Female,JHS,5/7/2025,active,pending,2.55268E+11,student,secure,poor,lower_middle
NEPS-TAN-0121,Tanzania,Dar es Salaam,Moshi,10,1/5/2016,Prefer not to say,Primary,10/8/2025,active,consented,2.55895E+11,student,secure,none,upper_middle
NEPS-TAN-0122,Tanzania,Mwanza,St. Augustine,15,5/12/2011,Female,University,6/30/2024,active,declined,2.55733E+11,student,secure,none,middle
NEPS-TAN-0123,Tanzania,Arusha,Moshi,15,9/13/2010,Female,Not in school,8/2/2025,active,consented,2.5591E+11,unemployed,secure,poor,low
NEPS-TAN-0124,Tanzania,Dar es Salaam,St. Augustine,17,8/1/2008,Male,Not in school,4/28/2024,inactive,consented,2.55262E+11,student,secure,excellent,middle
NEPS-TAN-0125,Tanzania,Arusha,Moshi,15,9/16/2010,Female,Vocational,2/2/2024,active,consented,2.55893E+11,student,secure,none,lower_middle
NEPS-TAN-0126,Tanzania,Arusha,Kisutu,16,8/19/2009,Female,Not in school,3/30/2026,active,consented,2.55897E+11,student,severely_insecure,fair,lower_middle
NEPS-TAN-0127,Tanzania,Arusha,Kisutu,11,5/22/2015,Female,Not in school,4/9/2024,active,consented,2.55945E+11,student,moderately_insecure,good,middle
NEPS-TAN-0128,Tanzania,Mwanza,VTA,11,3/27/2015,Female,Primary,2/16/2026,active,consented,2.5527E+11,not_applicable,mildly_insecure,good,lower_middle
NEPS-TAN-0129,Tanzania,Dar es Salaam,Moshi,14,1/3/2012,Male,JHS,11/22/2025,active,consented,2.5573E+11,not_applicable,moderately_insecure,poor,lower_middle
NEPS-TAN-0130,Tanzania,Arusha,VTA,18,8/17/2007,Male,University,4/20/2025,active,consented,2.55641E+11,casual_labor,secure,none,lower_middle
NEPS-TAN-0131,Tanzania,Arusha,VTA,11,4/1/2015,Female,Not in school,6/12/2025,active,consented,2.55339E+11,student,moderately_insecure,fair,lower_middle
NEPS-TAN-0132,Tanzania,Arusha,Kisutu,24,5/10/2002,Male,Not in school,1/2/2024,inactive,pending,2.55285E+11,student,secure,good,upper_middle
NEPS-TAN-0133,Tanzania,Mwanza,Moshi,20,8/28/2005,Other,University,7/25/2025,active,consented,2.55974E+11,student,secure,fair,upper_middle
NEPS-TAN-0134,Tanzania,Dar es Salaam,St. Augustine,23,8/23/2002,Female,Vocational,3/21/2026,withdrawn,consented,2.55886E+11,student,secure,poor,low
NEPS-TAN-0135,Tanzania,Arusha,St. Augustine,24,7/21/2001,Male,Not in school,10/21/2024,active,consented,2.55672E+11,casual_labor,mildly_insecure,poor,middle
NEPS-TAN-0136,Tanzania,Dar es Salaam,Moshi,17,2/21/2009,Prefer not to say,Not in school,5/19/2025,active,consented,2.55803E+11,student,moderately_insecure,poor,lower_middle
NEPS-TAN-0137,Tanzania,Arusha,VTA,13,10/9/2012,Female,JHS,12/28/2025,active,pending,2.55371E+11,student,secure,fair,middle
NEPS-TAN-0138,Tanzania,Dar es Salaam,VTA,21,12/28/2004,Male,University,10/20/2025,inactive,consented,2.55458E+11,employed,moderately_insecure,poor,low
NEPS-TAN-0139,Tanzania,Mwanza,Moshi,15,5/12/2011,Male,SHS,3/12/2026,active,consented,2.55484E+11,student,moderately_insecure,poor,middle
NEPS-TAN-0140,Tanzania,Mwanza,VTA,22,11/13/2003,Male,University,4/23/2025,active,consented,2.55869E+11,student,secure,good,upper_middle
NEPS-TAN-0141,Tanzania,Dar es Salaam,Kisutu,11,3/31/2015,Male,Not in school,1/23/2026,active,consented,2.55249E+11,student,secure,none,middle
NEPS-TAN-0142,Tanzania,Arusha,VTA,21,12/18/2004,Female,University,1/30/2024,active,declined,2.55994E+11,employed,moderately_insecure,fair,lower_middle
NEPS-TAN-0143,Tanzania,Mwanza,Ilboru,15,9/19/2010,Male,SHS,1/5/2024,active,consented,2.5553E+11,student,moderately_insecure,fair,lower_middle
NEPS-TAN-0144,Tanzania,Arusha,Kisutu,19,10/7/2006,Female,Not in school,8/4/2025,active,consented,2.55865E+11,unemployed,severely_insecure,poor,low
NEPS-TAN-0145,Tanzania,Arusha,Ilboru,23,6/24/2002,Male,University,8/27/2025,active,consented,2.55857E+11,self-employed,secure,excellent,high
NEPS-TAN-0146,Tanzania,Mwanza,Moshi,21,3/28/2005,Male,University,11/17/2024,inactive,consented,2.5558E+11,student,mildly_insecure,fair,middle
NEPS-TAN-0147,Tanzania,Arusha,St. Augustine,19,10/2/2006,Female,SHS,10/18/2025,active,consented,2.55725E+11,student,mildly_insecure,none,low
NEPS-TAN-0148,Tanzania,Arusha,Ilboru,15,8/23/2010,Male,Not in school,2/8/2024,active,consented,2.55357E+11,student,moderately_insecure,fair,lower_middle
NEPS-TAN-0149,Tanzania,Mwanza,VTA,14,4/25/2012,Male,SHS,5/13/2025,active,consented,2.55317E+11,student,severely_insecure,fair,low
NEPS-TAN-0150,Tanzania,Mwanza,Kisutu,13,1/31/2013,Female,JHS,3/12/2026,active,consented,2.55206E+11,student,moderately_insecure,good,lower_middle
